country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Unemployment (% of labour force),Labour force participation (female/male pop. %),Urban population (% of total population),"Fertility rate, total (live births per woman)",Average life expectancy at birth,"Population age distribution (0-14 / 60+ years, %)",Infant mortality rate (per 1000 live births,CO2 emission estimates (million tons/tons per capita)
Azerbaijan,WesternAsia,86600,9828,118.9,99.3,0.7,5438.7,6.7,49.9,43.4,5.2,62.0/68.8,54.6,2.1,71.6,23.3/10.1,31.4,2459
Bahamas,Caribbean,13940,395,39.5,95.9,-1.7,22817.2,1.6,12.7,85.7,14.7,69.4/79.1,82.9,1.8,75.05,20.5/13.5,9.1,0
Bahrain,WesternAsia,771,1493,1963.9,168.3,2.9,22600.2,0.3,40.7,59,1.3,38.5/84.9,88.8,2.1,76.55,19.7/4.6,6.9,961
Bangladesh,SouthernAsia,147570,164670,1265,101.7,6.6,1207.9,15.5,28.1,56.3,4,43.2/81.1,34.3,2.2,71.35,28.4/7.3,33.3,1438
Barbados,Caribbean,431,286,664.5,91.9,0.9,15429.4,1.7,12.1,86.2,11.3,61.8/70,31.5,1.8,75.3,19.1/21.0,9.6,2
Belarus,EasternEurope,207600,9468,46.7,87,-3.9,5750.8,7.5,38.9,53.6,0.5,54.0/67.8,76.7,1.6,72.1,16.7/21.3,3.6,155
Belgium,WesternEurope,30528,11429,377.5,97.3,1.5,40277.8,0.7,22.2,77.1,8.3,48.1/58.9,97.9,1.8,80.5,17.1/24.6,3.5,520
Belize,CentralAmerica,22966,375,16.4,99.2,1.2,4789.4,14.6,18.5,66.9,11.5,56.7/83.8,44,2.6,69.95,31.4/6.2,14.3,9
Benin,WesternAfrica,114763,11176,99.1,99.5,5.2,779.1,23.2,24.9,51.9,1,70/73.4,44,5.2,59.95,42.7/5.0,67.7,96
Bermuda,NorthernAmerica,53,61,1227,91.4,0.4,94399.9,0.7,5.3,94,6.7,72.6/80,100,1.5,81.3,14.8/24.9,-99,1
Bhutan,SouthernAsia,38394,808,21.2,113.1,5.2,2677.1,17.2,43.9,38.8,2.4,59.4/73.5,38.6,2.2,68.75,26.5/7.3,30.5,75
Bolivia (Plurinational State of),SouthAmerica,1098581,11052,10.2,100.2,4.8,3076.8,12.6,31,56.5,3.8,64.1/82.6,68.5,3,67.75,31.6/9.5,42.9,962
Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,96.4,3.1,4265,7.3,26.5,66.2,25.4,34.3/57.5,39.8,1.3,76.25,14.1/23.4,7.6,252
Botswana,SouthernAfrica,582000,2292,4,97.7,-0.3,6360.6,2.4,33.4,64.2,18.6,73.6/81.6,57.4,2.9,62.95,31.4/6.4,35.2,47
Brazil,SouthAmerica,8515767,209288,25,96.6,-3.8,8528.3,5.2,22.7,72,12.4,56.0/78.2,85.7,1.8,74.7,21.7/12.6,15.8,10948
British Virgin Islands,Caribbean,151,31,208,97.1,-1.1,30144.5,1,11.1,87.8,-99,-99,46.2,-99,-99,-99,-99,0
Brunei Darussalam,South-easternAsia,5765,429,81.3,106,-0.6,30552.7,1.1,60.2,38.7,2.1,50.6/75.0,77.2,1.9,76.75,23.0/8.0,6.5,679
Bulgaria,EasternEurope,111002,7085,65.3,94.6,3,6846.8,5.1,27.6,67.2,8.1,48.5/60.1,73.9,1.5,74.3,14.2/27.7,8.3,474
Burkina Faso,WesternAfrica,272967,19193,70.2,99.5,4.1,611.1,34.5,21.8,43.7,2.9,76.5/90.5,29.9,5.6,58.65,45.2/3.9,64.8,123
Burundi,EasternAfrica,27830,10864,423.1,96.9,-4.1,244.6,36.3,13.9,49.8,1.7,84.6/82.7,12.1,6,56.1,45.0/4.4,77.8,56
Cabo Verde,WesternAfrica,4033,546,135.6,99.3,1.5,3080.2,9.5,19.8,70.7,10.5,53.7/84.6,65.5,2.5,72.05,30.2/6.9,22.5,2
